ID,experience,Q1,Q2,Q3,Q4,Q5,age,gender,region,familyhouse,consensus
1,3. 一年以上前,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,21,男性,関東地方,はい,はい、データ公開に同意します。
2,3. 一年以上前,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,3. どちらも買わない。,21,男性,関東地方,いいえ,はい、データ公開に同意します。
3,3. 一年以上前,1. きのこの山を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,1. きのこの山を買う。,23,男性,関東地方,はい,はい、データ公開に同意します。
4,2. 過去半年から１年以内,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,21,男性,関東地方,はい,はい、データ公開に同意します。
5,3. 一年以上前,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,21,女性,関東地方,はい,はい、データ公開に同意します。
6,2. 過去半年から１年以内,1. きのこの山を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,22,男性,四国地方,いいえ,はい、データ公開に同意します。
7,3. 一年以上前,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,3. どちらも買わない。,2. たけのこの里を買う。,22,男性,関東地方,いいえ,はい、データ公開に同意します。
8,2. 過去半年から１年以内,1. きのこの山を買う。,1. きのこの山を買う。,3. どちらも買わない。,3. どちらも買わない。,1. きのこの山を買う。,24,男性,中部地方,いいえ,はい、データ公開に同意します。
9,2. 過去半年から１年以内,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,23,男性,関東地方,はい,はい、データ公開に同意します。
10,4. 食べたことがない,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,24,男性,海外,いいえ,はい、データ公開に同意します。
11,1. 過去半年以内,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,22,男性,九州地方（沖縄含む）,いいえ,はい、データ公開に同意します。
12,4. 食べたことがない,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,24,女性,海外,いいえ,はい、データ公開に同意します。
13,3. 一年以上前,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,3. どちらも買わない。,29,男性,関東地方,はい,はい、データ公開に同意します。
14,2. 過去半年から１年以内,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,24,女性,九州地方（沖縄含む）,はい,はい、データ公開に同意します。
15,1. 過去半年以内,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,23,男性,東北地方,いいえ,はい、データ公開に同意します。
16,2. 過去半年から１年以内,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,21,女性,関東地方,はい,はい、データ公開に同意します。
17,1. 過去半年以内,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,21,女性,関東地方,いいえ,はい、データ公開に同意します。
18,3. 一年以上前,3. どちらも買わない。,3. どちらも買わない。,2. たけのこの里を買う。,3. どちらも買わない。,3. どちらも買わない。,23,女性,近畿地方,はい,はい、データ公開に同意します。
19,1. 過去半年以内,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,23,女性,関東地方,はい,はい、データ公開に同意します。
20,1. 過去半年以内,1. きのこの山を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,1. きのこの山を買う。,21,女性,関東地方,いいえ,はい、データ公開に同意します。
21,1. 過去半年以内,1. きのこの山を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,20,男性,関東地方,はい,はい、データ公開に同意します。
22,3. 一年以上前,1. きのこの山を買う。,1. きのこの山を買う。,3. どちらも買わない。,1. きのこの山を買う。,1. きのこの山を買う。,20,男性,中部地方,いいえ,はい、データ公開に同意します。
23,2. 過去半年から１年以内,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,23,女性,四国地方,いいえ,はい、データ公開に同意します。
24,3. 一年以上前,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,23,男性,東北地方,いいえ,はい、データ公開に同意します。
25,2. 過去半年から１年以内,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,28,男性,近畿地方,はい,はい、データ公開に同意します。
26,1. 過去半年以内,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,22,男性,関東地方,はい,はい、データ公開に同意します。
27,1. 過去半年以内,1. きのこの山を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,22,男性,関東地方,はい,はい、データ公開に同意します。
28,3. 一年以上前,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,22,女性,四国地方,いいえ,はい、データ公開に同意します。
29,3. 一年以上前,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,21,男性,中部地方,いいえ,はい、データ公開に同意します。
30,3. 一年以上前,3. どちらも買わない。,1. きのこの山を買う。,2. たけのこの里を買う。,3. どちらも買わない。,1. きのこの山を買う。,27,女性,海外,いいえ,はい、データ公開に同意します。
31,1. 過去半年以内,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,24,男性,中部地方,いいえ,はい、データ公開に同意します。
32,3. 一年以上前,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,25,男性,中部地方,いいえ,はい、データ公開に同意します。
33,1. 過去半年以内,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,24,男性,関東地方,はい,はい、データ公開に同意します。
34,3. 一年以上前,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,39,男性,中国地方,いいえ,はい、データ公開に同意します。
35,3. 一年以上前,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,25,男性,近畿地方,はい,はい、データ公開に同意します。
36,2. 過去半年から１年以内,3. どちらも買わない。,1. きのこの山を買う。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,23,女性,近畿地方,はい,はい、データ公開に同意します。
37,1. 過去半年以内,1. きのこの山を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,21,男性,関東地方,いいえ,はい、データ公開に同意します。
38,1. 過去半年以内,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,22,女性,関東地方,はい,はい、データ公開に同意します。
39,1. 過去半年以内,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,20,女性,関東地方,はい,はい、データ公開に同意します。
40,2. 過去半年から１年以内,3. どちらも買わない。,3. どちらも買わない。,2. たけのこの里を買う。,3. どちらも買わない。,3. どちらも買わない。,23,男性,関東地方,いいえ,はい、データ公開に同意します。
41,1. 過去半年以内,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,22,男性,関東地方,はい,はい、データ公開に同意します。
42,1. 過去半年以内,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,3. どちらも買わない。,1. きのこの山を買う。,23,回答したくない,関東地方,いいえ,はい、データ公開に同意します。
43,3. 一年以上前,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,42,男性,関東地方,はい,はい、データ公開に同意します。
44,4. 食べたことがない,3. どちらも買わない。,1. きのこの山を買う。,2. たけのこの里を買う。,3. どちらも買わない。,3. どちらも買わない。,24,男性,関東地方,はい,はい、データ公開に同意します。
45,1. 過去半年以内,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,1. きのこの山を買う。,27,男性,関東地方,はい,はい、データ公開に同意します。
46,1. 過去半年以内,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,1. きのこの山を買う。,22,男性,関東地方,はい,はい、データ公開に同意します。
47,1. 過去半年以内,2. たけのこの里を買う。,3. どちらも買わない。,2. たけのこの里を買う。,3. どちらも買わない。,3. どちらも買わない。,23,男性,九州地方（沖縄含む）,いいえ,はい、データ公開に同意します。
48,3. 一年以上前,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,3. どちらも買わない。,35,男性,東北地方,いいえ,はい、データ公開に同意します。
49,3. 一年以上前,2. たけのこの里を買う。,1. きのこの山を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,23,男性,関東地方,いいえ,はい、データ公開に同意します。
50,1. 過去半年以内,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,2. たけのこの里を買う。,23,男性,中国地方,いいえ,はい、データ公開に同意します。
51,1. 過去半年以内,3. どちらも買わない。,1. きのこの山を買う。,2. たけのこの里を買う。,3. どちらも買わない。,3. どちらも買わない。,22,男性,関東地方,はい,はい、データ公開に同意します。
