ID,experience,Q1,Q2,Q3,Q4,Q5,age,gender,region,familyhouse
1,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,21,1 : 男性,3 : 関東地方,1
2,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,21,1 : 男性,3 : 関東地方,0
3,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,1 : きのこの山を買う,23,1 : 男性,3 : 関東地方,1
4,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,1 : 男性,3 : 関東地方,1
5,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,2 : 女性,3 : 関東地方,1
6,2 : 過去半年から１年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,22,1 : 男性,7 : 四国地方,0
7,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,2 : たけのこの里を買う,22,1 : 男性,3 : 関東地方,0
8,2 : 過去半年から１年以内,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,1 : きのこの山を買う,24,1 : 男性,4 : 中部地方,0
9,2 : 過去半年から１年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,23,1 : 男性,3 : 関東地方,1
10,4 : 食べたことがない,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,24,1 : 男性,9 : 海外,0
11,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,1 : 男性,8 : 九州地方(沖縄含む),0
12,4 : 食べたことがない,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,24,2 : 女性,9 : 海外,0
13,3 : １年以上前,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,29,1 : 男性,3 : 関東地方,1
14,2 : 過去半年から１年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,24,2 : 女性,8 : 九州地方(沖縄含む),1
15,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,23,1 : 男性,2 : 東北地方,0
16,2 : 過去半年から１年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,21,2 : 女性,3 : 関東地方,1
17,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,21,2 : 女性,3 : 関東地方,0
18,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,23,2 : 女性,5 : 近畿地方,1
19,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,23,2 : 女性,3 : 関東地方,1
20,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,1 : きのこの山を買う,21,2 : 女性,3 : 関東地方,0
21,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,3 : 関東地方,1
22,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,3 : どちらも買わない,1 : きのこの山を買う,1 : きのこの山を買う,20,1 : 男性,4 : 中部地方,0
23,2 : 過去半年から１年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,23,2 : 女性,7 : 四国地方,0
24,3 : １年以上前,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,23,1 : 男性,2 : 東北地方,0
25,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,28,1 : 男性,5 : 近畿地方,1
26,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,22,1 : 男性,3 : 関東地方,1
27,1 : 過去半年以内,1 : きのこの山を買う,2 : たけのこの里を買う,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,22,1 : 男性,3 : 関東地方,1
28,3 : １年以上前,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,22,2 : 女性,7 : 四国地方,0
29,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,1 : 男性,4 : 中部地方,0
30,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,27,2 : 女性,9 : 海外,0
31,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,24,1 : 男性,4 : 中部地方,0
32,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,25,1 : 男性,4 : 中部地方,0
33,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,24,1 : 男性,3 : 関東地方,1
34,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,39,1 : 男性,6 : 中国地方,0
35,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,25,1 : 男性,5 : 近畿地方,1
36,2 : 過去半年から１年以内,3 : どちらも買わない,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,23,2 : 女性,5 : 近畿地方,1
37,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,21,1 : 男性,3 : 関東地方,0
38,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,2 : 女性,3 : 関東地方,1
39,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,3 : 関東地方,1
40,2 : 過去半年から１年以内,3 : どちらも買わない,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,23,1 : 男性,3 : 関東地方,0
41,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,1 : 男性,3 : 関東地方,1
43,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,42,1 : 男性,3 : 関東地方,1
44,4 : 食べたことがない,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,24,1 : 男性,3 : 関東地方,1
45,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,27,1 : 男性,3 : 関東地方,1
46,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,22,1 : 男性,3 : 関東地方,1
47,1 : 過去半年以内,2 : たけのこの里を買う,3 : どちらも買わない,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,23,1 : 男性,8 : 九州地方(沖縄含む),0
48,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,35,1 : 男性,2 : 東北地方,0
49,3 : １年以上前,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,23,1 : 男性,3 : 関東地方,0
