ID,experience,Q1,Q2,Q3,Q4,Q5,age,gender,region,familyhouse
1,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,24,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
2,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,24,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
3,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,23,2 : 女性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),0
4,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,21,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
5,4 : 食べたことがない,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,24,1 : 男性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),0
6,1 : 過去半年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,1 : 男性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),1
7,3 : １年以上前,3 : どちらも買わない,1 : きのこの山を買う,2 : たけのこの里を買う,3 : どちらも買わない,1 : きのこの山を買う,23,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
8,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,29,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
9,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,1 : 男性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),0
10,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,1 : 男性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),0
11,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,22,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
12,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,3 : どちらも買わない,23,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
13,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,22,1 : 男性,西日本（近畿地方・中国地方・四国地方・九州地方(沖縄含む)),0
14,3 : １年以上前,2 : たけのこの里を買う,3 : どちらも買わない,2 : たけのこの里を買う,2 : たけのこの里を買う,3 : どちらも買わない,25,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
15,2 : 過去半年から１年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,21,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
16,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,20,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
17,3 : １年以上前,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,23,1 : 男性,海外,0
18,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,1 : きのこの山を買う,21,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
19,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,23,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
20,1 : 過去半年以内,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,22,NA,東日本（北海道地方・東北地方・関東地方・中部地方）,1
21,4 : 食べたことがない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,29,1 : 男性,海外,0
22,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,24,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
23,2 : 過去半年から１年以内,2 : たけのこの里を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,22,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
24,1 : 過去半年以内,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,0
25,3 : １年以上前,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,22,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
26,1 : 過去半年以内,1 : きのこの山を買う,1 : きのこの山を買う,2 : たけのこの里を買う,2 : たけのこの里を買う,1 : きのこの山を買う,19,2 : 女性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
27,3 : １年以上前,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,3 : どちらも買わない,20,1 : 男性,東日本（北海道地方・東北地方・関東地方・中部地方）,1
